velocity,mean_velocity,std_velocity,max_velocity,min_velocity
-0.5221666,-0.71167725,0.0938262,-0.5221666,-0.87826765
-0.5357265,-0.71204656,0.093113214,-0.5357265,-0.87826765
-0.6513622,-0.7115753,0.09405921,-0.5121642,-0.87826765
-0.75010496,-0.71013933,0.09550447,-0.5121642,-0.87826765
-0.8782269,-0.70847803,0.095517285,-0.5121642,-0.87826765
-0.84141654,-0.70674485,0.09317904,-0.5121642,-0.87826765
-0.732263,-0.705691,0.09193967,-0.5121642,-0.87826765
-0.64413464,-0.707049,0.09281939,-0.5121642,-0.87826765
-0.63264847,-0.71009576,0.09320371,-0.5121642,-0.87826765
-0.67301965,-0.7132253,0.093177676,-0.5121642,-0.87826765
-0.770941,-0.7147569,0.09313362,-0.5121642,-0.87826765
-0.85004944,-0.7147874,0.09315228,-0.5121642,-0.87826765
-0.87826765,-0.7142459,0.0924403,-0.5121642,-0.87826765
-0.8317053,-0.71433616,0.092602454,-0.5121642,-0.8827803
-0.6914948,-0.7145413,0.092873216,-0.5121642,-0.8827803
-0.5979084,-0.7150043,0.092814855,-0.5121642,-0.8827803
-0.5995856,-0.71517634,0.092605375,-0.5121642,-0.8827803
-0.6209695,-0.7143322,0.09383922,-0.5121642,-0.8827803
-0.732025,-0.71291083,0.09576124,-0.5121642,-0.8827803
-0.8007604,-0.7108898,0.09640077,-0.5121642,-0.8827803
-0.77988255,-0.7093809,0.09556914,-0.5121642,-0.8827803
-0.73795503,-0.7108215,0.097150885,-0.5121642,-0.8827803
-0.63511294,-0.71291894,0.098831445,-0.5121642,-0.8827803
-0.6432817,-0.7153305,0.09837352,-0.5121642,-0.8827803
-0.7070798,-0.7157498,0.09810989,-0.5121642,-0.8827803
-0.7787679,-0.71465117,0.09850754,-0.5121642,-0.8827803
-0.7484519,-0.71286184,0.09813849,-0.5121642,-0.8827803
-0.71030444,-0.7136816,0.09860239,-0.5121642,-0.8827803
-0.61725694,-0.716902,0.10103879,-0.5121642,-0.8827803
-0.6111133,-0.7223848,0.1029038,-0.5121642,-0.89140093
-0.67997396,-0.72666013,0.10263239,-0.5121642,-0.89140093
-0.76012975,-0.7263052,0.10282381,-0.5121642,-0.89140093
-0.87584126,-0.7219893,0.10579916,-0.5121642,-0.89140093
-0.8543258,-0.7144569,0.10796207,-0.49922344,-0.89140093
-0.78766406,-0.7078604,0.10928281,-0.49922344,-0.89140093
-0.6678213,-0.7049937,0.10903148,-0.49922344,-0.89140093
-0.6191534,-0.7063843,0.10899188,-0.49922344,-0.89140093
-0.63925564,-0.7086516,0.10833082,-0.49922344,-0.89140093
-0.7277951,-0.7097203,0.10790369,-0.49922344,-0.89140093
-0.80913836,-0.7073719,0.1087591,-0.49922344,-0.89140093
-0.822558,-0.7030487,0.10892408,-0.49922344,-0.89140093
-0.78554916,-0.6992387,0.10800492,-0.49922344,-0.89140093
